№,Название района[2]/,Название cоответствующего,Адми-,Пло-,Насе-,Плот-,Пло-,Жил-
,поселения[3][4],внутригородского,нистра-,щадь-,ление,ность,щадь,площадь
,,муниципального образования:,тивный,[6][7],2019[8]-,насе-,жилого,на
,,муниципального округа / поселения /,округ,км?,чел.,ления,фонда,чело-
,,городского округа[5],,,,2019,(01.01.,века
,,,,,,чел. / км?,2010)[9]-,(01.01.
,,,,,,,тыс. м?,2010)-
,,,,,,,,м?/чел.
69,Новокосино,Новокосино,ВАО,3-6,?107 907,29974.17,1682-4,16-2
70,Ново-Переделкино,Ново-Переделкино,ЗАО,8-48,?121 553,14334.08,1895,16-4
71,Обручевский,Обручевский,ЮЗАО,6-11,?86 793,14205.07,1742,21-7
72,Орехово-Борисово Северное,Орехово-Борисово Северное,ЮАО,7-67,?132 265,17244.46,1939-6,15-1
73,Орехово-Борисово Южное,Орехово-Борисово Южное,ЮАО,6-94,?147 789,21295.24,2149-7,14-8
74,Останкинский,Останкинский,СВАО,12-46,?63 514,5097.43,1131-4,18-6
75,Отрадное,Отрадное,СВАО,10-18,?185 488,18220.83,3191-6,17-8
76,Очаково-Матвеевское,Очаково-Матвеевское,ЗАО,17-54,?130 742,7453.93,2255-1,19-7
77,Перово,Перово,ВАО,9-73,?140 968,14487.98,2248,16-5
78,Печатники,Печатники,ЮВАО,17-89,?86 587,4839.97,1369-3,16-5
79,Покровское-Стрешнево,Покровское-Стрешнево,СЗАО,12-9,?59 402,4604.81,1006-7,18-1
80,Преображенское,Преображенское,ВАО,5-61,?91 503,16310.7,1453-2,17-7
81,Пресненский,Пресненский,ЦАО,11-7,?128 062,10945.47,1416-4,11-5
82,Проспект Вернадского,Проспект Вернадского,ЗАО,4-65,?63 659,13690.11,1831,29-6
83,Раменки,Раменки,ЗАО,18-54,?141 610,7638.08,3511-2,27
84,Ростокино,Ростокино,СВАО,3-54,?40 082,11322.6,732-8,19-7
85,Рязанский,Рязанский,ЮВАО,6-49,?109 733,16908.01,2025-9,19-9
86,Савёлки,Савёлки,ЗелАО,8-13,?34 472,4240.1,695,21-4
87,Савёловский,Савёловский,САО,2-7,?59 287,21958.15,1120,19-2
88,Свиблово,Свиблово,СВАО,4-41,?62 847,14251.02,956-1,15-9
89,Северное Бутово,Северное Бутово,ЮЗАО,9-13,?95 882,10501.86,1751,20
90,Северное Измайлово,Северное Измайлово,ВАО,4-2,?87 614,20860.48,1624-3,19-1
91,Северное Медведково,Северное Медведково,СВАО,5-66,?127 819,22582.86,1764,14-5
92,Северное Тушино,Северное Тушино,СЗАО,9-4,?165 762,17634.26,2665-5,17-4
93,Северный,Северный,СВАО,10-29,?38 551,3746.45,620,22-2
94,Силино,Силино,ЗелАО,10-4,?40 218,3867.12,765.0,19-8
95,Сокол,Сокол,САО,3-72,?59 507,15996.51,1163-5,20-2
96,Соколиная Гора,Соколиная Гора,ВАО,7-84,?92 126,11750.77,1422,16-3
97,Сокольники,Сокольники,ВАО,10-28,?61 487,5981.23,1247-2,21-7
98,Солнцево,Солнцево,ЗАО,11-29,?126 456,11200.71,2058-4,17-7
99,Старое Крюково,Старое Крюково,ЗелАО,3-81,?31 053,8150.39,566,19-7
100,Строгино,Строгино,СЗАО,16-84,?160 791,9548.16,2406-2,15-8
101,Таганский,Таганский,ЦАО,8-01,?123 398,15405.49,2380-6,20-5
102,Тверской,Тверской,ЦАО,7-27,?77 864,10710.32,1253-3,16-4
103,Текстильщики,Текстильщики,ЮВАО,5-92,?105 267,17781.59,1638-7,16-3
104,Тёплый Стан,Тёплый Стан,ЮЗАО,7-5,?134 321,17909.47,2406-4,19-1
105,Тимирязевский,Тимирязевский,САО,10-43,?83 712,8026.08,1836-2,22-2
106,Тропарёво-Никулино,Тропарёво-Никулино,ЗАО,11-27,?124 167,11017.48,2895-2,24-4
107,Филёвский Парк,Филёвский Парк,ЗАО,9-62,?94 323,9804.89,1605-9,19-9
108,Фили-Давыдково,Фили-Давыдково,ЗАО,6-96,?115 128,16541.38,2388-6,21-3
109,Хамовники,Хамовники,ЦАО,10-08,?109 218,10835.12,2559-6,24-8
110,Ховрино,Ховрино,САО,5-73,?89 018,15535.43,2450-2,30-2
111,Хорошёво-Мнёвники,Хорошёво-Мнёвники,СЗАО,17-18,?173 615,10105.65,2918,17-8
