Name,AdmArea,District,Address,PublicPhone,SeatsCount,Longitude_WGS84,Latitude_WGS84
Счастье,Центральный административный округ,Тверской район,"Большой Путинковский переулок, дом 5",(495) 699-54-44,80,37.6075794597651000,55.7673007594675000
Зодиак,Центральный административный округ,район Арбат,"Смоленская площадь, дом 3",(495) 230-02-30,70,37.5812599845118380,55.7475322677391530
Luciano,Центральный административный округ,район Арбат,"Смоленская площадь, дом 3",(495) 981-55-58,50,37.5812599845118380,55.7475322677391530
Ресторан «Maradona»,Центральный административный округ,район Хамовники,"Большой Саввинский переулок, дом 12, строение 8",(499) 246-32-40,100,37.5615313958454000,55.7325775996325000
Luciano,Центральный административный округ,район Арбат,"Смоленская площадь, дом 3",(495) 981-55-58,50,37.5812599845118380,55.7475322677391530
Сан Суши,Центральный административный округ,район Арбат,"Новинский бульвар, дом 8",(903) 785-15-64,60,37.5843826207223870,55.7513199579180070
Ресторан Грабли,Центральный административный округ,Мещанский район,"Театральный проезд, дом 5, строение 1",(903) 130-74-85,400,37.6248670072101560,55.7601616050110850
Luciano,Центральный административный округ,район Арбат,"Смоленская площадь, дом 3",(495) 981-55-58,5,37.5812599845118380,55.7475322677391530
Ресторан Ялта,Юго-Западный административный округ,район Коньково,"улица Миклухо-Маклая, дом 36А",(925) 194-07-75,45,37.5328920664135950,55.6401282628087510
Ресторан Крокус-31,Центральный административный округ,район Арбат,"Новинский бульвар, дом 8",(905) 758-44-33,80,37.5843826207223870,55.7513199579180070
ФудСервис,Южный административный округ,район Чертаново Центральное,"Кировоградская улица, дом 11, корпус 1",(495) 315-05-56,50,37.6068275288674410,55.6144318200277750
KFC,Новомосковский административный округ,поселение Московский,"Киевское шоссе, 22-й километр, домовладение 4, строение 1",(495) 212-00-00,120,37.4413860000000000,55.6341760000000000
Ресторан ООО Капиталинвест,Центральный административный округ,район Арбат,"Новинский бульвар, дом 8",(964) 551-93-92,100,37.5843826207223870,55.7513199579180070
Калипсо,Новомосковский административный округ,поселение Московский,"Киевское шоссе, 22-й километр, домовладение 4, строение 2",(499) 550-38-38,250,37.4369030000000000,55.6350350000000000
Ливан Хаус,Юго-Западный административный округ,район Коньково,"улица Миклухо-Маклая, дом 32А",(917) 593-66-86,20,37.5308281439421450,55.6408425104299620
Кафе «317»,Центральный административный округ,Пресненский район,"Краснопресненская набережная, дом 2/1",(495) 605-19-97,72,37.5686119647065550,55.7546584381899210
ЭРВИН,Западный административный округ,район Дорогомилово,"Кутузовский проспект, дом 2/1, строение 6",(929) 507-91-41,150,37.5699034999700000,55.7575926684197000
Макаронино,Северный административный округ,район Левобережный,"Ленинградское шоссе, дом 71Б, строение 2",нет телефона,92,37.4499514570629590,55.8767872641848340
Чайхона № 1,Центральный административный округ,Тверской район,"Тверская улица, дом 24/2, строение 1",(499) 131-49-38,224,37.5999200000000000,55.7681770000000000
Нормандия-Неман,Центральный административный округ,Тверской район,"Благовещенский переулок, дом 5",(495) 650-44-50,60,37.5985311574889070,55.7679816823366890
Густо Кафе,Центральный административный округ,район Арбат,"улица Новый Арбат, дом 36, строение 3",(495) 988-26-56,70,37.5758432105889780,55.7531617903923970
MexicanClub,Центральный административный округ,Тверской район,"улица Охотный Ряд, дом 2",(495) 788-82-55,70,37.6173399913988360,55.7572664203530270
Ресторан «Zagato»,Центральный административный округ,Пресненский район,"Малый Конюшковский переулок, дом 2",(495) 665-09-78,60,37.5801930000000000,55.7582400000000000
Ресторан «Де Марко»,Центральный административный округ,Пресненский район,"Краснопресненская набережная, дом 2/1",(495) 605-31-15,60,37.5686119647065550,55.7546584381899210
Goodman,Центральный административный округ,Тверской район,"улица Охотный Ряд, дом 2",(495) 775-98-88,200,37.6173399913988360,55.7572664203530270
ЗАМАН,Западный административный округ,район Дорогомилово,"Кутузовский проспект, дом 36А",(915) 404-92-97,62,37.5260622739031580,55.7386947109048590
Чайхана № 1,Центральный административный округ,Басманный район,"улица Покровка, дом 50/2, строение 2",(495) 917-28-82,120,37.6559468732888000,55.7637888102596000
