Name,AdmArea,District,Address,PublicPhone,SeatsCount,Longitude_WGS84,Latitude_WGS84
Кафе Софра,Центральный административный округ,Мещанский район,"Мещанская улица, дом 12",(916) 611-82-61,20,37.6279030847010960,55.7763229360142820
ПивКо,Северный административный округ,район Левобережный,"Флотская улица, дом 5, корпус А",(495) 781-28-85,90,37.4923007804598500,55.8514669041166560
СТАРАЯ ГАВАНА,Центральный административный округ,Таганский район,"улица Талалихина, дом 28, строение 1",(495) 277-05-78,90,37.6797970758513000,55.7301773598741000
Ploveberry,Южный административный округ,район Чертаново Центральное,"Кировоградская улица, дом 13А",(495) 389-77-66,40,37.6062569377674760,55.6134481680646790
Планета Суши,Южный административный округ,район Зябликово,"Ореховый бульвар, дом 22А",(495) 935-81-54,50,37.7327181769181120,55.6120431641733650
ИнвестГрупп,Новомосковский административный округ,поселение Московский,"деревня Говорово, дом 1Б/Н",(926) 850-68-44,0,37.4327800000000000,55.6576360000000000
Вино и Мясо,Центральный административный округ,Басманный район,"Большой Златоустинский переулок, дом 1, строение 1",(495) 624-46-55,70,37.6317446668030800,55.7598756185390130
Sardona,Южный административный округ,район Чертаново Центральное,"Кировоградская улица, дом 13А",(926) 776-38-11,30,37.6062569377674760,55.6134481680646790
Quzu Inalian Bistro,Южный административный округ,район Чертаново Центральное,"Кировоградская улица, дом 13А",(916) 173-69-84,30,37.6062569377674760,55.6134481680646790
Broadway Diner,Южный административный округ,район Чертаново Центральное,"Кировоградская улица, дом 13А",(495) 389-77-66,15,37.6062569377674760,55.6134481680646790
Пицца Экспресс,Центральный административный округ,район Хамовники,"улица Знаменка, дом 7, строение 3",(495) 710-99-43,157,37.6073638725580000,55.7490741468183000
Папа Карло,Западный административный округ,Можайский район,"улица Говорова, дом 18",(495) 448-76-24,98,37.3930474744887000,55.7213167739971000
Авлабар,Южный административный округ,Даниловский район,"Велозаводская улица, дом 6",(495) 118-40-00,45,37.6649449656868710,55.7122875580237820
GIANFRANCO,Северо-Западный административный округ,район Куркино,"Воротынская улица, дом 13/2",(495) 317-07-07,75,37.3928230000000000,55.8885940000000000
Тануки,Юго-Восточный административный округ,Южнопортовый район,"улица Симоновский Вал, дом 15",(495) 676-43-20,120,37.6644636350000040,55.7219250129999610
Ресторан Софра,Центральный административный округ,Мещанский район,"Мещанская улица, дом 12",(495) 684-74-13,20,37.6279030847010960,55.7763229360142820
Ресторан «Японский ресторан»,Центральный административный округ,Пресненский район,"Тишинская площадь, дом 1, строение 1",(499) 739-05-13,0,37.5833580000000000,55.7691929990000000
Ресторан «Роял бар»,Северный административный округ,Войковский район,"Ленинградское шоссе, дом 39, строение 23",(495) 544-50-24,96,37.4790266880879000,55.8376755918947000
Ресторан «Боттега Сицилиана»,Центральный административный округ,Тверской район,"улица Охотный Ряд, дом 2",(495) 660-03-83,58,37.6173399913988360,55.7572664203530270
Страна которой нет,Центральный административный округ,Тверской район,"улица Охотный Ряд, дом 2",(495) 737-54-01,220,37.6173399913988360,55.7572664203530270
Урюк кафе,Северо-Западный административный округ,район Строгино,"улица Маршала Катукова, дом 20",(495) 942-99-39,50,37.4075922075004000,55.8064878155031000
ПОРТО МАЛЬТЕЗЕ-МО,Северный административный округ,район Беговой,"Ленинградский проспект, дом 31А, строение 1",(495) 232-04-86,90,37.5594149397849000,55.7835069070897000
PPL,Центральный административный округ,район Якиманка,"Якиманская набережная, дом 4, строение 1",(495) 737-41-00,140,37.6123556123791000,55.7401684072919000
Ля Гурмэ,Центральный административный округ,район Якиманка,"улица Большая Полянка, дом 1/3",(499) 230-36-06,48,37.6163377613023000,55.7420331712847000
ХАРБИН,Центральный административный округ,район Якиманка,"улица Большая Якиманка, дом 54",(926) 625-18-57,80,37.6115982953236000,55.7314007059068000
Фанни Кабани,Центральный административный округ,Тверской район,"улица Малая Дмитровка, дом 5/9",(495) 220-25-02,160,37.6055885886097000,55.7677930838412000
Take five,Центральный административный округ,район Якиманка,"улица Большая Полянка, дом 1/3",(499) 230-36-06,48,37.6167758928354000,55.7421977150528000
Кабинет,Центральный административный округ,район Якиманка,"Донская улица, дом 15",(495) 740-48-58,60,37.6080211626124000,55.7237247080133000
Штирлиц,Центральный административный округ,район Якиманка,"Ленинский проспект, дом 7",(495) 617-61-03,50,37.6065520595349000,55.7250249299806000
"Ресторан Бакинский бульвар, ул. Наметкина, д.3",Юго-Западный административный округ,Обручевский район,"улица Намёткина, дом 3",(495) 223-93-18,180,37.5459460000000000,55.6656710000000000
НАСТРОЕНИЕ,Юго-Западный административный округ,Академический район,"Новочерёмушкинская улица, дом 10, строение 1",(499) 789-50-30,92,37.5841924177251000,55.6871576783798000
Ресторан «Ла Делициа»,Юго-Западный административный округ,район Коньково,"Севастопольский проспект, дом 56А",(495) 330-25-55,132,37.5486140000000000,55.6411260000000000
Ресторан Чайхана,Северо-Восточный административный округ,район Бибирево,"Костромская улица, дом 17",(499) 940-49-72,230,37.6005968070569000,55.8851425372886000
Стейк Хаус «Бизон»,Центральный административный округ,Басманный район,"Лубянский проезд, дом 15, строение 2",(495) 621-31-79,95,37.6321395860746000,55.7568225201357000
Ресторан «Тануки»,Северо-Восточный административный округ,Алексеевский район,"улица Космонавтов, дом 15",(910) 426-86-66,174,37.6603810239233000,55.8216324339380000
СЕМИФРЕДО,Центральный административный округ,район Хамовники,"улица Тимура Фрунзе, дом 11, строение 44",(495) 181-55-55,75,37.5853024867580030,55.7352712748525930
Ресторан «Ерш»,Северо-Восточный административный округ,Алексеевский район,"улица Космонавтов, дом 15",(495) 683-30-62,146,37.6604193160364000,55.8216696043312000
Ресторан «Il Patio»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,350,37.5394658308338340,55.7490566076941010
Хинкальная №1,Северный административный округ,район Левобережный,"Ленинградское шоссе, дом 106, строение 1",(495) 763-44-47,40,37.4677236314669460,55.8599126252144700
Баварский дворик,Центральный административный округ,Красносельский район,"Комсомольская площадь, дом 6, сооружение 1",(916) 338-79-96,104,37.6591770000000000,55.7760200000000030
Посадоффест,Центральный административный округ,Красносельский район,"Комсомольская площадь, дом 6, сооружение 1",(905) 781-61-76,185,37.6591770000000000,55.7760200000000030
Асаки,Юго-Восточный административный округ,район Текстильщики,"улица Юных Ленинцев, дом 12",(495) 255-26-62,44,37.7409860270327190,55.6993034737132360
Паскуччи,Центральный административный округ,Тверской район,"улица Варварка, дом 14, строение 1",(495) 698-47-47,60,37.6323594769168960,55.7522422559993840
Ресторан «ТОРО»,Центральный административный округ,Пресненский район,"Краснопресненская набережная, дом 12",(499) 258-13-63,30,37.5568982587883000,55.7550958467894000
Якитория,Зеленоградский административный округ,район Савёлки,"улица Юности, дом 3, строение 1",(499) 995-45-35,82,37.2221124354631600,55.9990919160335780
Укроп и Кинза,Центральный административный округ,Красносельский район,"Комсомольская площадь, дом 6, сооружение 1",(495) 979-52-07,40,37.6591770000000000,55.7760200000000030
Сафран,Центральный административный округ,Тверской район,"улица Варварка, дом 14, строение 1",(495) 698-37-35,130,37.6323594769168960,55.7522422559993840
Ресторан,Северо-Восточный административный округ,Останкинский район,"1-я Останкинская улица, дом 53",(495) 602-24-31,15,37.6321204731470400,55.8243912150199290
Золотая Луза,Юго-Восточный административный округ,район Выхино-Жулебино,"Привольная улица, дом 65/32",(495) 706-48-71,48,37.8494839550920050,55.6814300930413000
Чайхона №1,Южный административный округ,район Чертаново Центральное,"Кировоградская улица, дом 13А",(909) 986-32-32,80,37.6062569377674760,55.6134481680646790
Ресторан «Бельэтаж»,Центральный административный округ,район Замоскворечье,"Кожевническая улица, дом 11/13, строение 1",(495) 988-26-56,52,37.6474861766549000,55.7293315673658000
Спа Салон Сиам Си,Центральный административный округ,район Арбат,"Большой Афанасьевский переулок, дом 22",(495) 691-43-40,0,37.5974977591352300,55.7490420706932920
Япоша,Южный административный округ,район Чертаново Центральное,"Кировоградская улица, дом 13А",(926) 400-02-06,30,37.6062569377674760,55.6134481680646790
The Сад,Центральный административный округ,район Якиманка,"Якиманская набережная, дом 4, строение 1",(495) 783-81-08,120,37.6124855727846210,55.7397723835461530
Ресторан Джведи,Центральный административный округ,район Замоскворечье,"Озерковская набережная, дом 26",(495) 772-97-37,50,37.6382872091366000,55.7391220042435000
Барашка,Центральный административный округ,район Арбат,"улица Новый Арбат, дом 21",(495) 228-37-30,96,37.5855933925953710,55.7519933029514120
Ресторан «Tutto Bene»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 8, строение 1",(495) 787-44-33,50,37.5384580000000000,55.7472260000000000
Ресторан Дубинин,Центральный административный округ,район Замоскворечье,"Кожевническая улица, дом 7, строение 1",(499) 235-31-08,62,37.6451375709603000,55.7300504921667000
Semplice,Южный административный округ,район Чертаново Центральное,"Кировоградская улица, дом 13А",(926) 526-34-01,30,37.6062569377674760,55.6134481680646790
Нардин,Юго-Западный административный округ,Ломоносовский район,"улица Гарибальди, дом 3",(495) 935-15-56,95,37.5350140000000000,55.6781889990000000
кафе «КазанКлаб»,Центральный административный округ,район Замоскворечье,"Большая Серпуховская улица, дом 17, строение 1",(495) 766-46-00,45,37.6261153446265000,55.7270025225833000
Ресторан «Борисовский пассаж»,Южный административный округ,район Орехово-Борисово Северное,"Каширское шоссе, дом 80",(495) 394-96-63,210,37.7091143436938200,55.6245252521291750
Ресторан «Авиалюкс»,Северный административный округ,район Аэропорт,"Ленинградский проспект, дом 68, строение 23",(499) 151-11-30,120,37.5244918094630000,55.8037967133899000
Бизнес Ресурс ресторан «Восточный ресторан Дело Тонкое»,Юго-Западный административный округ,район Черёмушки,"Профсоюзная улица, дом 61А",(495) 727-34-73,60,37.5410195814199000,55.6559800936385000
Ресторан «Мисада»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(499) 272-00-78,30,37.5394658308338340,55.7490566076941010
Росинтер Ресторанс,Южный административный округ,Даниловский район,"Большая Тульская улица, дом 11",(495) 788-44-88,100,37.6238993293658130,55.7101031387395910
Ресторан «Чеснок»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,30,37.5394658308338340,55.7490566076941010
Ресторан Ашкын,Юго-Восточный административный округ,район Люблино,"Краснодарская улица, дом 60А",(495) 358-50-09,95,37.7719469999999000,55.6737120000000000
Гудман,Центральный административный округ,район Хамовники,"Комсомольский проспект, дом 24, строение 1",(495) 788-13-96,90,37.5801933607739000,55.7287286974693000
Ресторан «Correa's»,Центральный административный округ,район Хамовники,"улица Льва Толстого, дом 16",(495) 755-91-79,32,37.5888989999999000,55.7341129990000000
Ресторан Велиети,Северный административный округ,район Сокол,"улица Сальвадора Альенде, дом 1",(499) 943-41-52,65,37.5119100976931000,55.7960219150786000
Тануки,Северный административный округ,район Коптево,"Большая Академическая улица, дом 65",(499) 153-81-44,98,37.5476100000000000,55.8402660000000000
ДУБРАВА,Северо-Восточный административный округ,район Марьина Роща,"улица Образцова, дом 31, строение 3",(495) 785-11-46,90,37.6089727037768430,55.7924345206269050
Сердолик 7,Южный административный округ,Донской район,"Малая Калужская улица, дом 15, строение 4",(926) 843-64-54,66,37.5981686168491010,55.7179526769831740
Корчма Диканька,Зеленоградский административный округ,район Савёлки,"Савёлкинский проезд, дом 12",(495) 765-74-55,150,37.2222922949413000,55.9908176517655000
Денис Давыдов,Восточный административный округ,район Соколиная Гора,"Щербаковская улица, дом 50",(495) 366-66-40,500,37.7171870695184000,55.7801794316445000
Ресторан «Ерш»,Западный административный округ,район Ново-Переделкино,"Боровское шоссе, дом 31",(495) 731-54-29,146,37.3614830755739000,55.6424714551646000
Ресторан «Люсьен»,Центральный административный округ,Мещанский район,"улица Гиляровского, дом 65, строение 1",(495) 681-00-62,100,37.6328798757620000,55.7895424067909000
РЕСТОРАН «Цыцыла»,Западный административный округ,район Раменки,"Минская улица, дом 2Г, корпус 1",(903) 570-41-11,90,37.5028769999999000,55.7180460000000000
Портер,Юго-Восточный административный округ,район Выхино-Жулебино,"улица Хлобыстова, дом 20, корпус 2, строение 2",(495) 371-50-00,55,37.8111700000000000,55.7167270000000000
Грабли,Центральный административный округ,Тверской район,"Тверская улица, дом 18, корпус 1",(495) 699-36-53,120,37.6038600000000000,55.7662289990000000
Золотое яблоко,Центральный административный округ,Тверской район,"улица Малая Дмитровка, дом 11",(495) 335-72-11,100,37.6055383787184000,55.7688886294664000
Интэс,Северный административный округ,Савёловский район,"Вятская улица, дом 41",(495) 685-15-90,32,37.5767783729131000,55.8002116540048000
Бульвар,Центральный административный округ,Тверской район,"Цветной бульвар, дом 5",(495) 988-26-56,100,37.6208639007341000,55.7687959238663000
Дружба,Центральный административный округ,Тверской район,"Новослободская улица, дом 4",(499) 973-12-34,100,37.6017212829693430,55.7801290323576570
ОкиДоки,Центральный административный округ,Тверской район,"Тверская улица, дом 20, строение 1",(903) 798-90-93,55,37.6028238766205000,55.7666171107233000
Ресторан «Pinkberry»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(499) 745-09-28,20,37.5394658308338340,55.7490566076941010
Ресторан «NordSee»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(499) 781-59-06,20,37.5394658308338340,55.7490566076941010
Якитория,Центральный административный округ,Тверской район,"1-я Тверская-Ямская улица, дом 7",(499) 250-56-70,90,37.5922542556300000,55.7719271096922000
Макдоналдс,Юго-Восточный административный округ,Южнопортовый район,"Волгоградский проспект, домовладение 24, корпус 1",(495) 676-38-25,80,37.6791880000000000,55.7275220000000000
Ресторан Casa Agave,Центральный административный округ,Тверской район,"Большой Черкасский переулок, дом 15-17, строение 1",(495) 624-57-66,140,37.6263482460330040,55.7572024441211200
Ресторан «Аист»,Центральный административный округ,Пресненский район,"Малая Бронная улица, дом 8, строение 1",(499) 940-70-40,160,37.5969249999999000,55.7603540000000000
Махраба,Юго-Западный административный округ,район Черёмушки,"Профсоюзная улица, дом 23",(495) 780-49-82,120,37.5612297661655960,55.6746646391960170
Bad room,Центральный административный округ,Басманный район,"улица Покровка, дом 18/18, строение 1",(495) 624-70-50,50,37.6460226999376000,55.7591196016677000
Культурно - досуговый центр,Восточный административный округ,район Сокольники,"Русаковская улица, дом 23",(495) 603-32-22,150,37.6760956274097000,55.7859682117774000
Кампус,Центральный административный округ,район Хамовники,"Смоленский бульвар, дом 3-5, строение 1А",(495) 708-31-12,48,37.5846400000000000,55.7394000000000000
МАКДОНАЛДС,Северо-Восточный административный округ,район Бибирево,"МКАД, 87-й километр, дом 8",(495) 580-22-22,100,37.6293950000000020,55.8986170000000020
Фавори,Юго-Западный административный округ,район Черёмушки,"Профсоюзная улица, дом 23",(495) 780-49-82,120,37.5612297661655960,55.6746646391960170
Ресторан,Северо-Восточный административный округ,район Бибирево,"Алтуфьевское шоссе, дом 70, корпус 1",(495) 960-21-85,99,37.5893744455404000,55.8879525181290000
РЕСТОРАН «ДЖОН ДЖОЛИ»,Северо-Восточный административный округ,Алексеевский район,"проспект Мира, дом 118",(968) 820-13-22,150,37.6383498267231570,55.8107813211158760
КАФЕ-РЕСТОРАН «БИФ-ТАЙМ»,Северо-Восточный административный округ,Алексеевский район,"проспект Мира, дом 102, строение 1А",(495) 663-17-20,100,37.6380893214578120,55.8001102228722910
Караоке-бар Родео,Центральный административный округ,район Якиманка,"улица Большая Полянка, дом 54, строение 1",(499) 230-73-33,50,37.6212736043233990,55.7311274557909400
Николас,Центральный административный округ,район Якиманка,"улица Большая Полянка, дом 27",(495) 953-96-54,120,37.6188130000000000,55.7379260000000000
Монте-Карло,Центральный административный округ,Красносельский район,"Малая Красносельская улица, дом 14",(499) 264-77-55,70,37.6580044045467370,55.7860822934660520
ПАСПАРТУ,Южный административный округ,район Чертаново Северное,"Варшавское шоссе, дом 118, корпус 1",(903) 785-28-14,95,37.6180180347024590,55.6316248911716260
Мамма Джованна,Центральный административный округ,район Якиманка,"Кадашёвская набережная, дом 26",(495) 287-87-10,70,37.6222598541535550,55.7447667000654410
Ресторан «Сандык»,Юго-Восточный административный округ,район Марьино,"улица Перерва, дом 52",(495) 348-59-84,55,37.7445257590914100,55.6563186678135580
Ресторан «Габбиана»,Центральный административный округ,Пресненский район,"Средний Тишинский переулок, дом 28",(495) 777-37-01,25,37.5755686657867400,55.7705139394385800
Бургер Кинг,Южный административный округ,район Зябликово,"Ореховый бульвар, владение 24, строение 3",(495) 544-50-00,172,37.7436223646384550,55.6133028533304170
Гастротека,Центральный административный округ,район Замоскворечье,"Пятницкая улица, дом 29",(495) 225-80-50,70,37.6290092786063180,55.7409250074159170
GIPSY,Центральный административный округ,район Якиманка,"Болотная набережная, дом 3, строение 2",(495) 669-86-93,150,37.6094564045145890,55.7399734142378660
BRawleRS PAB,Юго-Западный административный округ,Гагаринский район,"Ленинский проспект, дом 61/1",(964) 553-99-69,60,37.5584723790094440,55.6948351423636940
Хмель и Эль,Центральный административный округ,Тверской район,"Трёхпрудный переулок, дом 4, строение 1",(495) 650-30-57,60,37.5987053000000000,55.7650170000000000
Ресторан «Selfie»,Центральный административный округ,Пресненский район,"Новинский бульвар, дом 31",(495) 995-85-03,40,37.5830403946921400,55.7578216589971000
Ресторан «Goodman Steak House»,Центральный административный округ,Пресненский район,"Новинский бульвар, дом 31",(495) 981-49-41,64,37.5830439469214000,55.7578216589971000
Баракат,Юго-Восточный административный округ,Нижегородский район,"Рязанский проспект, дом 2, корпус 3",(499) 390-08-59,45,37.7345690000000000,55.7296910000000000
Стейк-хаус «Гудман»,Центральный административный округ,Мещанский район,"Трубная площадь, дом 2",(495) 229-01-85,120,37.6224923908926390,55.7665352783936540
Ресторан «Гранд Крю»,Центральный административный округ,Пресненский район,"Новинский бульвар, дом 31",нет телефона,35,37.5830439469214000,55.7578216589971000
Ресторан «Крошка-Картошка»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(499) 272-00-78,30,37.5394658308338340,55.7490566076941010
Сытая Утка,Северо-Западный административный округ,район Куркино,"Соколово-Мещерская улица, дом 16/114",(495) 317-01-99,49,37.3897001764564370,55.8973940431979130
Ресторан «Saltenas»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(926) 910-90-07,5,37.5394658308338340,55.7490566076941010
Ресторан «Kithcenette»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,30,37.5394658308338340,55.7490566076941010
Ресторан «Hollyfood»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(926) 910-90-07,5,37.5394658308338340,55.7490566076941010
ТАНУКИ,Северо-Западный административный округ,район Куркино,"Новокуркинское шоссе, дом 25",(495) 223-22-23,160,37.3982021662493760,55.8986208997371820
Ресторан «Tamasi Sushi»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,32,37.5394658308338340,55.7490566076041010
Ресторан «Zю-кафе»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,30,37.5394658308338340,55.7490566076941010
Ресторан «SUSHI NOKE»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(926) 910-90-07,5,37.5394658308338340,55.7490566076941010
Ресторан «Meat&Fisht»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,30,37.5394658308338340,55.7490566076941010
Кафе «LA Terassa»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(926) 910-90-07,5,37.5394658308338340,55.7490566076941010
Ресторан «Kabuki»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,30,37.5394658308338340,55.7490566076941010
Ресторан «Viet Cafe»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,30,37.5394658308338340,55.7490566076941010
Ресторан «McDonalds»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,0,37.5394658308338340,55.7490566076941010
Ресторан «Lizzaran»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,30,37.5394658308338340,55.7490566076941010
Ресторан «Rolf CAFE»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,30,37.5394658308338340,55.7490566076941010
Ресторан «Catina Moriachi»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,30,37.5394658308338340,55.7490566076941010
Ресторан «Елки-Палки»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,30,37.5394658308338340,55.7490566076941010
Ресторан «J&J»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,150,37.5394658308338340,55.7490566076941010
Ресторан «Kerosinka»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,30,37.5394658308338340,55.7490566076941010
Ресторан «Simpatico»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,30,37.5394658308338340,55.7490566076941010
Ресторан «Теремок»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,30,37.5394658308338340,55.7490566076941010
Ресторан «Texas Chicken»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,57,37.5394658308338340,55.7490566076941010
Ресторан «Yammy MIX»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,57,37.5394658308338340,55.7490566076941010
Ресторан «Polent One»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,57,37.5394658308338340,55.7490566076941010
Ресторан «Jerry Wings»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,57,37.5394658308338340,55.7490566076941010
Ресторан «Sup Cafe»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,50,37.5394658308338340,55.7490566076941010
Ресторан «Бургер КИНГ»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,30,37.5394658308338340,55.7490566076941010
Ресторан «Anadolu»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,57,37.5394658308338340,55.7490566076941010
Ресторан «Pasta Deli»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,57,37.5394658308338340,55.7490566076941010
Ресторан «Subway»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,57,37.5394658308338340,55.7490566076941010
Ресторан Балчуг,Центральный административный округ,район Замоскворечье,"улица Балчуг, дом 11, строение 1",нет телефона,80,37.6256928175395800,55.7475452416144530
Ресторан «Планета Суши»,Юго-Восточный административный округ,район Марьино,"Люблинская улица, дом 153",(495) 348-96-45,50,37.7416488157342000,55.6586432289987000
Ресторан Вилла Роза,Центральный административный округ,район Замоскворечье,"Пятницкая улица, дом 52, строение 1",(495) 236-80-10,57,37.6274752245974000,55.7346084090018000
Ресторан «Столовая 77»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,54,37.5394658308338340,55.7490566076941010
Ресторан «Зелень»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,54,37.5394658308338340,55.7490566076941010
Ресторан «IL Патио»,Юго-Восточный административный округ,район Марьино,"Люблинская улица, дом 153",(495) 356-48-64,1,37.7416997866676000,55.6587884857173000
Ресторан «Polen Tantuni»,Центральный административный округ,Пресненский район,"Пресненская набережная, дом 2",(495) 644-32-56,57,37.5394658308338340,55.7490566076941010
Ресторан Луизиана,Центральный административный округ,район Замоскворечье,"Пятницкая улица, дом 30, строение 4",(495) 951-42-44,50,37.6281404124331000,55.7397305219851000
Ресторан «Сим-сити»,Юго-Восточный административный округ,район Марьино,"Новомарьинская улица, дом 20",(495) 349-64-85,150,37.7609178052972000,55.6562948372581000
Ресторан Лос Бандитос,Центральный административный округ,район Замоскворечье,"улица Большая Ордынка, дом 7",(495) 953-04-66,56,37.6249459014962000,55.7445847344182000
"Дорогая, я перезвоню",Центральный административный округ,Тверской район,"2-я Тверская-Ямская улица, дом 10",(499) 972-01-69,94,37.5954403036945590,55.7713378502141380
Теремок,Южный административный округ,район Чертаново Центральное,"Кировоградская улица, дом 13А",(916) 447-23-87,20,37.6062569377674760,55.6134481680646790
Кафе «Vanilla sky»,Центральный административный округ,Пресненский район,"улица 1905 Года, дом 4, строение 2",(499) 253-34-57,40,37.5617639318529090,55.7644382469355900
Ресторан Теремок,Юго-Западный административный округ,район Северное Бутово,"Старокачаловская улица, дом 5А",(495) 711-51-90,10,37.5806135025293530,55.5700467085070000
Ресторан Чайхона,Юго-Западный административный округ,район Северное Бутово,"Старокачаловская улица, дом 5А",(495) 711-51-90,150,37.5806135025293530,55.5700467085070000
Ньюоки,Центральный административный округ,район Арбат,"улица Новый Арбат, дом 22",(916) 611-44-44,96,37.5888719561035100,55.7529733068458600
Теремок,Юго-Западный административный округ,район Северное Бутово,"улица Поляны, дом 8",(495) 785-09-97,40,37.5560933960643200,55.5654020538397260
Ресторан «Prime Grill»,Центральный административный округ,Пресненский район,"Шмитовский проезд, дом 23, строение 4",(499) 259-37-91,50,37.5428818049275180,55.7565641118655510
Ресторан «ESHAK»,Западный административный округ,район Крылатское,"Рублёвское шоссе, дом 42, корпус 1",(499) 994-00-01,140,37.4124756217300170,55.7508604670903410
Тап и Баррель Паб,Центральный административный округ,Тверской район,"улица Большая Дмитровка, дом 13",(495) 636-29-04,300,37.6131259746527040,55.7622202212008700
БУРГЕР ГИНГ,Юго-Восточный административный округ,Рязанский район,"Рязанский проспект, дом 75, строение 1",(495) 989-67-89,40,37.7924127401402710,55.7177809413881280
Тануки,Юго-Восточный административный округ,Рязанский район,"Рязанский проспект, дом 12",(499) 940-91-65,80,37.7612041209140510,55.7252499750175330
Алексира,Центральный административный округ,район Якиманка,"улица Крымский Вал, дом 10",(499) 230-39-46,200,37.6061482695409380,55.7348267632158640
БургерРус,Южный административный округ,район Зябликово,"Ореховый бульвар, владение 24",(495) 544-50-00,172,37.7432490456140290,55.6136960156373090
Ресторан «Sabor de la vida»,Центральный административный округ,Пресненский район,"улица 1905 Года, дом 10, строение 1",(495) 796-92-87,30,37.5586182464813870,55.7680105905169940
Кафе «Correa's»,Центральный административный округ,Пресненский район,"улица Сергея Макеева, дом 13",(495) 926-70-85,32,37.5512167021218700,55.7633574236895630
La Scarpetta,Центральный административный округ,район Хамовники,"Оболенский переулок, дом 9, корпус 1",(499) 246-62-28,85,37.5791678724190560,55.7305653768511390
Хинкальная,Центральный административный округ,Тверской район,"Столешников переулок, дом 6, строение 5",(909) 169-28-77,80,37.6121832252774200,55.7620156529880480
Ресторан «RICO»,Центральный административный округ,Пресненский район,"Калашный переулок, дом 4/1, строение 1",(916) 530-82-36,54,37.6025487312660120,55.7541809833878760
Пивачев и Рулькин,Юго-Западный административный округ,район Коньково,"улица Миклухо-Маклая, дом 36А",(916) 122-81-72,99,37.5328920664135950,55.6401282628087510
Ресторан «Стамбул»,Западный административный округ,район Ново-Переделкино,"улица Скульптора Мухиной, дом 11",(925) 353-71-17,650,37.3405013304700000,55.6376701137160000
Вилла Тоскана,Северный административный округ,Тимирязевский район,"Дмитровское шоссе, дом 53, корпус 1",(495) 532-88-08,75,37.5687147306012000,55.8430806004858000
Япоша Сокол,Северный административный округ,район Сокол,"Ленинградский проспект, дом 77, корпус 4",(499) 951-39-90,97,37.5063310118920000,55.8060976953417000
Барбарис,Юго-Западный административный округ,Обручевский район,"Ленинский проспект, дом 109",(495) 988-51-52,25,37.5112978768212460,55.6637832242678100
Сбарро,Южный административный округ,район Чертаново Центральное,"улица Красного Маяка, дом 2Б",(495) 785-38-75,45,37.6067995603411800,55.6110617231609650
